"Data Source","World Development Indicators",

"Last Updated Date","2016-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.3999996185303","","","25.6000003814697","","","26.7000007629395","","","","","","","32.9000015258789","","","24.3999996185303","24.3999996185303","","","","",
"Andorra","AND","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1000003814697","","","","","","",
"Arab World","ARB","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8367116960062","","","","",
"United Arab Emirates","ARE","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2000007629395","","","","","36.2000007629395","","","","","44.7999992370605","","","28.2999992370605","27.1000003814697","","","","","","",
"Argentina","ARG","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.4000015258789","40.2000007629395","40.2000007629395","37.7999992370605","37","34.5","32.5999984741211","34","34","32.2000007629395","31.1000003814697","30","27.8999996185303","29.2000007629395","31.2999992370605","32.7000007629395","32.9000015258789","33.9000015258789","33.5999984741211","33.0999984741211","34.2000007629395","35.0999984741211","33.4000015258789","34.2000007629395","35.0999984741211","",
"Armenia","ARM","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1000003814697","21.8999996185303","20.7000007629395","21.1000003814697","20.7999992370605","21.3999996185303","30.3999996185303","27.2000007629395","27","26.1000003814697","27.1000003814697","26.5","","",
"American Samoa","ASM","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3999996185303","26.1000003814697","26.1000003814697","26.1000003814697","26.1000003814697","26.1000003814697","26.1000003814697","26.1000003814697","","","","","","","",
"Australia","AUS","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","39.2999992370605","38.5999984741211","37.9000015258789","36.2999992370605","36","36.2000007629395","35.7000007629395","35.0999984741211","34.7999992370605","35.0999984741211","33.9000015258789","32.0999984741211","32.0999984741211","32.2000007629395","32.2999992370605","31.8999996185303","31.3999996185303","31.2000007629395","31","30.7000007629395","31.2999992370605","30.5","30.7999992370605","30.7999992370605","31.3999996185303","31.2999992370605","31.8999996185303","32","32.7999992370605","32","32","29.5","29.2000007629395","31.3999996185303","","",
"Austria","AUT","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","49.2999992370605","48.7000007629395","48.7999992370605","48.7000007629395","48.7000007629395","48.5","48.5","48.5999984741211","48.2999992370605","47","47.0999984741211","43.7999992370605","43.2000007629395","41.5999984741211","41.2000007629395","41.5","42.2999992370605","42.7999992370605","41.9000015258789","42.0999984741211","42.0999984741211","38","40.0999984741211","40.7999992370605","39.7999992370605","38.5999984741211","37.2999992370605","37.0999984741211","38.2999992370605","38.4000015258789","37.7999992370605","37.9000015258789","",
"Azerbaijan","AZE","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1999998092651","13.8999996185303","14.1000003814697","15.1999998092651","15.1999998092651","15.1999998092651","15.1999998092651","16.1000003814697","16.6000003814697","18.2000007629395","19.3999996185303","20.8999996185303","21.5","21.8999996185303","22.2000007629395","","",
"Burundi","BDI","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09999990463257","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","43","41.5","40.4000015258789","39.5999984741211","39","38.5","38","37.4000015258789","39.7000007629395","40.2000007629395","39.5","40.0999984741211","40.5","39.7000007629395","38.5999984741211","38.0999984741211","37.2999992370605","37.4000015258789","37.4000015258789","36.5","36.4000015258789","35.4000015258789","35.7999992370605","35","35.9000015258789","35.2000007629395","35.7999992370605","35.2000007629395","36.4000015258789","34.9000015258789","34.5999984741211","34.7000007629395","32.9000015258789","33.0999984741211","33","",
"Benin","BEN","Employment in industry, male (% of male employment)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.80000019073486","","","","","","","14","","","","","",
