"Data Source","World Development Indicators",

"Last Updated Date","2016-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.0999984741211","","","95.0999984741211","","","94.6999969482422","","","","","","","93.3000030517578","","","94.8000030517578","96.0999984741211","","","","",
"Andorra","AND","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7999992370605","","","","","","",
"Arab World","ARB","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.4243329836458","","","","",
"United Arab Emirates","ARE","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.0999984741211","","","","","86.0999984741211","","","","","92.4000015258789","","","92.5","93.5","","","","","","",
"Argentina","ARG","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5999984741211","80.1999969482422","80.6999969482422","83.0999984741211","85.1999969482422","84.4000015258789","87.3000030517578","88","89.0999984741211","88.8000030517578","89.1999969482422","89","89.6999969482422","87.0999984741211","87.1999969482422","88.0999984741211","88.5","88.6999969482422","88.8000030517578","89.6999969482422","90","88","89.5999984741211","89.9000015258789","90.6999969482422","",
"Armenia","ARM","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.0999984741211","46.5999984741211","45","43.7999992370605","44.5","43","46.7999992370605","48.9000015258789","47","48","48.4000015258789","48.7999992370605","","",
"American Samoa","ASM","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.3000030517578","93.8000030517578","93.8000030517578","93.8000030517578","93.8000030517578","93.8000030517578","93.8000030517578","93.8000030517578","","","","","","","",
"Australia","AUS","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","79.4000015258789","78.5999984741211","79.9000015258789","80.4000015258789","80.9000015258789","81","81.5","82.0999984741211","82.4000015258789","82.6999969482422","83.3000030517578","78.0999984741211","78.4000015258789","78.1999969482422","78.5999984741211","79","79.0999984741211","79.5","80.0999984741211","80.1999969482422","79.9000015258789","80.6999969482422","81","81.4000015258789","81","81.0999984741211","81.5","82.0999984741211","81.5999984741211","81.5","81.6999969482422","88.5999984741211","88.5999984741211","82.8000030517578","","",
"Austria","AUT","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","65.5999984741211","66.8000030517578","67.5","68.1999969482422","68.4000015258789","69.3000030517578","70.0999984741211","70.1999969482422","70.4000015258789","71.5999984741211","73","74.8000030517578","74.3000030517578","75.8000030517578","77.5999984741211","78.5","79.1999969482422","79.6999969482422","80.0999984741211","81","81.3000030517578","81.9000015258789","82","81.5","81.6999969482422","82.9000015258789","83.8000030517578","83.8000030517578","83.1999969482422","83.1999969482422","82.9000015258789","83.0999984741211","",
"Azerbaijan","AZE","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5999984741211","46.4000015258789","50","53.0999984741211","53.5","53.7000007629395","54","54.2999992370605","53.0999984741211","52.9000015258789","50.2999992370605","49.4000015258789","49.9000015258789","49.9000015258789","50.4000015258789","","",
