"Data Source","World Development Indicators",

"Last Updated Date","2016-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.3000030517578","","","73.5","","","71.5999984741211","","","","","","","65.9000015258789","","","74.0999984741211","74.4000015258789","","","","",
"Andorra","AND","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4000015258789","","","","","","",
"Arab World","ARB","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.8511453700206","","","","",
"United Arab Emirates","ARE","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7000007629395","","","","","54.7000007629395","","","","","48.9000015258789","","","66.3000030517578","68.3000030517578","","","","","","",
"Argentina","ARG","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.7000007629395","58.4000015258789","58.7000007629395","61.2000007629395","62","64.4000015258789","65.9000015258789","64.3000030517578","64.5","66.3000030517578","67.5","68.5999984741211","70.5","68.3000030517578","66.9000015258789","65.5999984741211","65.4000015258789","64.5","64","65.1999969482422","60.5999984741211","59.2999992370605","65","64.0999984741211","63.2999992370605","",
"Armenia","ARM","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.2999992370605","29.2999992370605","30.5","32.7999992370605","32.9000015258789","35.0999984741211","39","38.2000007629395","41.7000007629395","41.0999984741211","41.9000015258789","44.7999992370605","","",
"American Samoa","ASM","Employment in services, male (% of male employment)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9000015258789","","","","","","","","","","","","","","","","","","","","","","","","","",
