"Data Source","World Development Indicators",

"Last Updated Date","2016-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1800000668","3","3.0899999142","3.2000000477","3.2000000477","2.5899999142","","3.2999999523","","2.7","2.6","2.6","","2.5","","","","","","",
"Afghanistan","AFG","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","0.170626997947693","","","","","","","","","","0.199000000953674","","","","","","","","","","","0.275599986314774","","","","","","0.3091000020504","","","0.2497999966","","","","","","","","","","","0.400000006","","0.4","","","","0.42","0.42","0.4","0.4","","0.5","","","",
"Angola","AGO","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","2.06146168708801","","","","","","","","","","2.72099995613098","","","","","","","","","","","","","","","","","","","","1.2913000584","","","","","","","","","","","","","","","0.8","","","","","","","","","","",
"Albania","ALB","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","5.1026759147644","","","","","","","","","","","","","","","","","","","","4.27169990539551","4.18709993362427","4.16069984436035","4.08620023727417","4.13899993896484","4.13880014419556","4.06969976425171","3.97000002861023","3.93549990653992","4.13210010528564","4.0248999596","3.9986999035","4.0134000778","3.8313999176","3.0171000957","3.1900000572","3.1400001049","3.0499999523","3.0499999523","3.0299999714","3.2599999905","","","3.0999999046","","3","2.9692","2.9","","2.8","","2.43","2.6","","","",
"Arab World","ARB","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.92962207243987","","","","","","","","","","1.92100737263455","","","","","1.5853329619782","","","","","","1.70752300065202","","","","","","","","","1.79971341704277","","","","","","","","","","","","","","","","","1.56985505269602","","1.50777891726041","","","1.14869953770714","","","",
"United Arab Emirates","ARE","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","2.84949994087219","2.87509989738464","","","","","","","","","2.6400001049","","3.0604999065","","","","2.6400001049","","","","","","2.2","","","1.88","","1.86","1.9","","","","1.1","","","",
"Argentina","ARG","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","6.35225057601929","","","","","","","","","","5.58580017089844","","","","","","","","","","","","","","","","","","","","4.5942997932","","","4.5999999046","","","3.2899999619","","","","4.1","","","","","4","","","","","4.5","4.5","4.7","","","",
"Armenia","ARM","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","8.39540004730225","8.57839965820313","8.68280029296875","8.54810047149658","8.66009998321533","8.69919967651367","9.02420043945313","8.99660015106201","9.19040012359619","9.03579998016357","9.0947999954","8.529299736","8.3676996231","8.2146997452","7.765999794","7.6399998665","7.1300001144","6.75","6.6599998474","6.1999998093","5.4699997902","4.25","","4.4000000954","","4.5","4.4","4.1","","3.7","","3.95","3.9","","","",
"American Samoa","ASM","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","7.70642185211182","","","","","","","","","","6.53000020980835","","","","","","","","","","","","","","","","","","","","6.5999999046","","","6.1048002243","","","3.8800001144","","","","","2.6","2.3","2.5","2.4","2.4","2.4","2","1.7","2.2","2.2","2.1","","","","",
"Australia","AUS","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","11.1999998092651","11.3000001907349","11.3999996185303","11.6999998092651","11.8000001907349","11.8999996185303","11.8000001907349","11.8000001907349","11.8000001907349","11.6999998092651","11.6999998092651","11.6000003814697","11.8000001907349","11.8000001907349","12","11.8999996185303","11.8999996185303","12.1000003814697","12.1000003814697","12.1999998092651","12.3000001907349","12.1999998092651","12.1000003814697","11.8999996185303","11.6999998092651","10.8999996185303","","10.5","","9.80000019073486","","9.1999998093","8.8999996185","8.8999996185","8.6999998093","8.6999998093","8.5","8.3000001907","8.1999998093","7.9000000954","7.8000001907","7.5999999046","4","","3.9","4","3.97","","","3.8","3.9","","","","","",
"Austria","AUT","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","10.8000001907349","","","","","","","","","","10.8000001907349","","","","","","","","","","11.1999998092651","","","","","10.8999996185303","10.8000001907349","10.6999998092651","10.6000003814697","10.3999996185303","10.1999998093","9.8999996185","9.6999998093","9.3999996185","9.5","9.3999996185","9.3000001907","9.1999998093","9","8.8999996185","8.6999998093","8.6000003815","8.3999996185","8.3000001907","","7.7","7.6496","7.8","7.7","7.7","7.63","7.6","","","","",
"Azerbaijan","AZE","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","9.74520015716553","","","","","9.89680004119873","9.84109973907471","9.88210010528564","9.96630001068115","10.204400062561","10.0992002487","10.0208997726","10.5427999496","10.4875001907","10.070599556","10.0200004578","9.8100004196","9.6099996567","9.0600004196","8.8999996185","8.6800003052","8.5100002289","","8.3000001907","","8.2","8.1","7.9","","7.5","","4.55","4.7","","","",
"Burundi","BDI","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.12240731716156","","","","","","","","","","1.28059995174408","","","","","1.12320005893707","","","","","","","","","","","0.679199993610382","","","","","0.6631000042","","","","","","","","","","","","","","","0.7","","","","","1.9","","","","",
"Belgium","BEL","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","8.30000019073486","","","","","","","","","","9.39999961853027","","","","","9.10000038146973","","","","","8","7.9000000954","7.6999998093","7.6999998093","7.5999999046","","","7.1999998093","7.1999998093","7.0999999046","7.0999999046","6.9000000954","6.9000000954","","","5.3","5.3","5.3","","6.6","6.5","6.53","6.5","","","",
"Benin","BEN","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.22574877738953","","","","","","","","","","1.15489995479584","","","","","","","","","","1.46490001678467","1.13119995594025","","","","0.359600007534027","","","","","0.8338999748","0.5005000234","0.2231000066","0.2390999943","0.2336000055","","","","","","","","","","","0.5","","","","","0.5","","","","","",
"Burkina Faso","BFA","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","0.523758113384247","","","","","","","","","","0.57150000333786","","","","","","","","","","","","","","","","","","","0.306400001049042","0.2992999852","","","","","1.2999999523","1.4199999571","","","","","","","","","","0.9","","","","0.4","","","","","",
"Bangladesh","BGD","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","0.155100002884865","","","","","","","","","","0.215800002217293","0.225199997425079","","","","0.287800014019012","","","","","0.3041999936","0.3080999851","","","0.3048999906","","","","","0.3000000119","","0.3","0.34","","","0.3","","","","","","0.6","","","","",
"Bulgaria","BGR","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","6.21367740631104","","","","","","","","","","","","","","","","","","","","8.85060024261475","8.85900020599365","8.88669967651367","8.87679958343506","8.96300029754639","9.11400032043457","9.45209980010986","9.56420040130615","9.56019973754883","9.70209980010986","9.7908000946","9.7681999207","10.2063999176","10.4941997528","10.196100235","10.3699998856","10.470000267","10.279999733","8.4099998474","7.4899997711","7.4099998474","7.1999998093","","6.3000001907","","6.4","6.2","6.4011","6.5","6.6","6.5","6.4","","","","",
