"Data Source","World Development Indicators",

"Last Updated Date","2016-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","89","90","98","96","97","99","99","98","93","96","99","99","99","99","99","96","97","",
"Afghanistan","AFG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","4","3","5","5","16","15","11","25","35","33","25","23","21","18","12","20","31","28","27","27","24","33","36","41","50","58","58","63","64","63","66","68","67","70","75","",
"Angola","AGO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","6","8","8","10","10","12","18","24","26","21","30","27","24","28","41","47","21","31","42","47","46","47","47","44","83","81","73","91","86","91","93","80","",
"Albania","ALB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","94","94","95","95","95","96","96","96","96","94","94","78","94","96","99","97","98","99","96","97","97","97","98","97","97","98","97","98","99","98","99","99","99","99","98","",
"Arab World","ARB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","32.1551080201692","33.8631643890119","37.3476718546743","48.0369964670296","58.900221647206","65.0252637507607","68.5230334257566","73.7999817288088","80.6710991791281","81.4664869739165","75.0125335169395","75.2538274074387","75.6553357376714","73.6794745102919","76.4413879933325","78.0302346481689","76.5474892944546","78.4002094328501","81.2212610825188","83.049383036236","84.3091720179194","82.2713009809749","82.8405042666009","84.07537274992","84.9370966637348","84.4831441033194","85.6996028176265","86.9143734259843","87.8339466893275","88.8002494351358","88.5937371301853","85.5639077141169","87.0853891699752","86.2317375194123","",
"United Arab Emirates","ARE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","11","45","43","50","59","76","78","80","82","84","85","85","86","90","90","90","90","92","94","94","94","94","94","94","94","94","92","92","92","93","94","94","94","94","94","",
"Argentina","ARG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","44","49","58","61","62","66","67","75","80","80","87","80","81","81","82","85","83","88","84","86","83","83","93","96","93","98","91","91","94","94","94","92","91","94","94","",
"Armenia","ARM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","85","86","98","86","88","82","91","93","94","94","94","91","90","87","88","89","93","94","95","95","95","93","",
"American Samoa","ASM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
