"Data Source","World Development Indicators",

"Last Updated Date","2016-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91.3","91.6","91.9","92.3","92.6","92.9","93.2","93.6","93.9","94.2","94.5","94.9","95.2","95.5","95.8","96.2","96.5","96.8","97.1","97.4","97.8","98.1","98.1","98.1","98.1",
"Andorra","AND","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Afghanistan","AFG","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2","16.2","16.2","16.2","16.2","17.8","19.5","21.1","22.7","24.3","25.9","27.6","29.2","30.8","32.4","34","35.6","37.3","38.9","40.5","42.1","43.7","45.4","47","47",
"Angola","AGO","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.5","43.5","43.5","43.5","43.5","42.7","41.9","41.1","40.3","39.5","38.7","37.9","37","36.2","35.4","34.6","33.8","33","32.2","31.4","30.6","29.8","29","28.2","28.2","28.2",
"Albania","ALB","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","93","93","93","93","93.1","93.3","93.4","93.5","93.7","93.8","94","94.1","94.2","94.4","94.5","94.7","94.8","94.9","95.1","95.2","95.2",
"Arab World","ARB","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0031203060342","73.2373697383414","73.3109496930454","71.3222521758381","71.4034264055221","71.542584060245","71.6718521403561","71.8060310404847","71.8598850352724","71.9288913514866","71.9953790554299","72.1118687504967","72.2216280647298","72.3180702459862","72.3994637836888","72.5236733881316","72.6240735881861","72.7178714121575","72.8709058122928","73.123786345275","73.329089258795","73.6552427601951","76.6538515735665","80.7263469294735","80.900516657279","88.1689754273784",
"United Arab Emirates","ARE","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Argentina","ARG","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.8","70","71.3","72.5","73.8","75","76.3","77.5","78.8","80","81.3","82.5","83.7","85","86.2","87.5","88.7","90","91.2","92.5","93.7","95","96.2","97.5","98.7","100",
"Armenia","ARM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8","75.8","75.8","75.8","75.8","77.3","78.8","80.2","81.7","83.2","84.7","86.1","87.6","89.1","90.6","92","93.5","95","96.5","98","99.4","100","100","100",
"American Samoa","ASM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.6","94","94.4","94.8","95.3","95.7","96.1","96.5","96.9","97.4","97.8","98.2","98.6","99","99.5","99.9","100","100","100","100","100","100","100","100","100","100",
