"Data Source","World Development Indicators",

"Last Updated Date","2016-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","43.45","44.08","47.12","48.66","51.53","57.08","60.38","64.93","65.29","59.6","57.72","53.16","58.45","61","63.38","69.07","68.58","69.37","69.94","70.98","73.01","73.46","72.04","68.24","61.3","52.01","55.54","58.08","60.36","70.84","72.45","72.53","77.32","85.25","91.79","101.09","110.53","118.26","124.1","104.91","83.71","103.81","98.03","105","103.38","91.62","95.05","99.14","102.18","105.75","108.2","109.55","104.25","","",
"Angola","AGO","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","36.66","37.66","38.51","40.82","42.44","43.5","44.49","44.35","46.27","49.39","50.18","49.63","51.26","52.08","56.68","52.08","53.09","54.85","56.3","57.35","58.47","60.92","61.84","62.79","64.46","66.29","66.28","66.77","67.26","69.24","69.67","72.03","75.51","73.43","70.34","81.46","87.71","91.55","92.05","97.1","101.12","105.5","105.48","94.39","103.34","102.27","109","114.32","115.93","120.7","124.85","129.04","135.57","","",
"Albania","ALB","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","22.99","23.32","23.35","23.01","23.86","24.7","27.77","26.24","26.79","27.73","29.57","29.11","30.62","31.46","31.72","33.73","34.74","38.32","39.76","40.86","42.82","43.01","43.5","42.31","41.53","41.35","43.96","47.89","50.43","55.48","54.01","60.59","65.38","77.09","88.31","90.02","78.85","80.02","84.47","89.14","91.29","94.06","97.92","101.07","98.56","100.36","103.02","97.41","98.89","100.93","104.53","105.3","109.59","","",
"Arab World","ARB","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","20.5258479474307","20.6903882550463","21.2500220193795","21.8028655463254","22.7934895687099","23.7739886310259","24.4067274542944","25.6112655243816","26.1522153508976","26.3438605260507","26.9621862723747","27.6595574568476","28.0789344245263","28.7545069625458","29.7966660394589","30.7819924687611","32.2123210309772","34.0144560731534","36.0673294745554","38.2565856998205","40.4986409818724","42.7503639398994","43.7904350403859","43.8615254609097","46.6629427252392","47.7422237797363","48.9228709129426","51.6583314177971","53.7890984191128","59.0852721951211","58.2603403185876","59.6157648835008","61.0808599788197","63.826685216433","67.2835566394674","69.8511992578878","75.4486780271926","78.5443013166031","81.491382238088","85.4642015585291","86.5238889582382","90.3313601939556","94.2027256283208","96.2644533579899","100.377106668316","103.358439973694","107.900008677043","109.966868282093","111.019069382329","114.998789600972","118.945278683195","121.307056612092","122.504415862682","","",
"United Arab Emirates","ARE","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","11.54","11.58","11.85","12.22","12.53","12.82","13.03","13.69","14.23","14.9","15.65","15.45","17.03","16.29","14.94","10.92","12.77","15.14","15.96","18.98","20.94","23.95","28.47","30.02","31.84","34.45","36.16","38.07","39.94","42.93","45.39","47.12","50.14","57.49","59.95","68.79","70.64","71.16","75.61","79.8","83.04","91.61","89.26","91.31","110.36","98.32","100.47","116.52","124.04","145.75","146.98","150.32","153.27","","",
"Argentina","ARG","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","61.52","65.77","70.95","59.85","60.23","67.99","71.66","72.54","78.83","73.06","62.53","66.75","65.18","65.75","71.91","79.47","80.41","85.94","83.4","79.82","81.74","74.45","72.47","74.62","80.24","83.23","77.39","74.72","76.76","84.31","82.41","81.14","85.65","89.49","89.93","88.58","89.67","86.69","94.96","93.93","87.28","82.99","85.39","93.68","102.39","103.94","106.67","107.69","113.78","100.1","100.81","101.51","110.67","","",
"Armenia","ARM","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","85.7","54","68.7","55.1","65.7","65.3","68.7","70","71.41","70.96","80.09","86.96","89.7","99.77","110.54","116.38","121.38","121.47","120.48","","","","","","","","","","","","82.25","72.28","72.59","74.95","75.72","76.46","78.87","78.78","79.87","79.68","82.94","87.93","94.15","99.03","106.82","111.96","116.09","114.74","112.83","112.83","115.01","124.45","","",
"American Samoa","ASM","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","118.01","103.22","130.9","161.14","197.27","196.41","126.72","110.13","96.07","94.41","85.92","87.56","87.46","94.81","94.45","106.75","107.84","98.94","100.22","117.57","98.22","96.16","95.99","96.33","96.67","97.56","97.76","97.78","98.53","98.73","98.94","99.14","99.16","99.71","99.75","99.8","99.84","99.62","99.62","99.62","99.93","99.97","99.87","99.62","99.91","100.47","100.98","101.17","101.51","102.25","102.25","102.25","102.25","","",
"Antigua and Barbuda","ATG","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","42.06","32.15","38.95","46.53","44.08","44.53","40.96","41.79","44.94","45.45","57.49","55.82","53.75","52.44","45.61","48.38","52.92","71.13","78.82","94.75","86.98","84.56","87.81","86.55","101.75","102.35","102.54","102.57","89","93.01","89.95","98.21","97.43","99.05","101.01","97.53","95.8","95.02","95.36","98.39","103.72","102.69","100.74","98.16","98.69","103.15","110.14","111.38","102.71","68.58","71.64","69.22","68","","",
"Australia","AUS","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","51.45","56.45","59.12","61.43","62.47","60.84","60.76","61.83","64.38","69.68","71.12","75.8","74.45","66.53","72.58","78.66","79.64","82.6","80","73.25","71.62","72.66","73.45","69.41","71.63","75.3","79.75","81.3","79.87","86.38","88.11","87.75","89.91","92.2","91.74","92.81","97.46","99.28","103.67","104.21","106.88","105.7","101.01","97.3","101.46","101.24","104.39","101.26","100.67","98.01","98.16","100.05","106.15","","",
"Austria","AUT","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","67.06","70.79","71.85","72.46","72.6","72.02","77.08","79.42","79.57","79.61","80.7","79.19","79.63","83.28","84.41","85.94","86.4","87.87","91.98","93.05","94.06","95.51","95.69","100.17","99.76","100.15","100.53","97.86","96.55","97.32","99.09","101.74","99.09","104.81","97.72","99.76","100.49","104.86","106.45","100.92","101.32","101.53","100.32","99.01","100.88","100.11","102.11","102.92","104.47","106.69","103.43","102.78","103.63","","",
"Azerbaijan","AZE","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","79.6","68.6","64.2","60.2","66.5","64.7","74.3","77.5","80.39","83.1","86.86","91.95","93.25","100.54","106.21","111.42","117.25","144.32","150.91","","","","","","","","","","","","72.42","62.58","58.56","58.79","61.78","66.65","71.97","76.21","78.57","82.01","86.49","91.24","96.37","99.93","103.71","109.18","113.91","134.24","144.12","148.58","158.03","165.88","","",
"Burundi","BDI","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","59.81","61.26","61.74","64.23","69.39","71.98","76.69","80.03","90.02","90.9","93.61","100.71","104.86","106.73","114.43","129.81","119.69","120.42","119.16","114.66","99.77","102.03","106.49","108.57","103.47","119","120.34","129.25","129.11","110.84","114.89","110.79","112.03","104.03","87.06","82.27","76.85","82","98.99","89.88","87.01","85.27","85.45","79.99","101.58","118.43","113.11","109.66","115.83","117.29","128.76","140.16","125.16","","",
