"Data Source","World Development Indicators",

"Last Updated Date","2016-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2","15.9","14.8","13.9","13.2","12.7","12.3","11.9","11.7","11.5","11.5","11.4","11.5","11.5","11.6","11.7","11.8","12","12.3","12.7","13.3","14.1","","","","",
"Afghanistan","AFG","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8","61.3","59.8","58.3","56.9","55.1","53.4","51.6","49.9","48.2","46.8","45.4","44.2","43.3","42.4","42","41.9","42","42.4","42.8","43.6","44.2","","","","",
"Angola","AGO","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.5","77.1","76.8","76.5","76.1","75.6","74.9","74.1","73.2","72.3","71.2","70.2","69.1","68","66.7","65.2","63.4","61.2","59","56.7","54.3","52.1","","","","",
"Albania","ALB","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","35","33.1","31.4","29.9","28.7","27.7","26.8","26","25.5","25.1","24.7","24.5","24.3","24.1","23.8","23.3","22.8","22.3","22.1","22.1","22.4","","","","",
"Arab World","ARB","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.6733024766031","52.5644428920122","51.6493964922154","50.7325210505774","49.8102640633632","48.7531520262999","47.8796723722387","47.0566650080138","46.2712519411346","45.6913550276197","45.3626129988943","45.3862383014396","45.6556769519529","46.0025043785739","46.2475469472448","46.4228676423179","46.2888087408928","45.8758713852383","45.283112550422","44.6645282899948","44.1179238356371","43.7183736443933","","","","",
"United Arab Emirates","ARE","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5","38.1","36.7","35.4","34.3","33.3","32.2","31.3","30.6","30.1","29.8","29.7","29.9","30","30.1","30.4","30.3","30","29.7","29.4","29.1","29.1","","","","",
"Argentina","ARG","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","31.5","29.7","27.9","26.4","25.1","23.8","22.7","21.8","21","20.3","19.8","19.3","19.1","18.7","18.4","18.1","18","18.3","18.7","19.5","20.5","","","","",
"Armenia","ARM","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","37.3","35.7","34.2","32.6","31.2","29.7","28.3","27.2","26.4","25.9","25.8","26.3","26.8","27.5","28.4","29.3","30.1","31","31.9","33.1","34.4","","","","",
"American Samoa","ASM","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9","41","40.2","39.5","38.9","38.5","38.2","38","37.6","37.5","37.5","37.5","37.6","37.9","38","38.2","38.2","38.1","38.1","38.1","38.2","38.5","","","","",
"Australia","AUS","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8","17.5","16.3","15.4","14.6","14","13.5","13.1","12.8","12.6","12.5","12.5","12.5","12.6","12.7","12.8","13","13.2","13.5","13.9","14.5","15.2","","","","",
"Austria","AUT","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","17.5","16.2","15.2","14.4","13.7","13.1","12.7","12.4","12.1","11.9","11.8","11.7","11.7","11.7","11.8","11.8","12","12.2","12.6","13.1","13.8","","","","",
