"Data Source","World Development Indicators",

"Last Updated Date","2016-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","20525.494276795","","","","","15205.9744639846","","","","","11735.8322177599","","","","","9631.05373981507","","","","","8069.13479239108","","","","","6512.85649428371","","","","","5357.87043324732","","","","","4919.94949101283","","","","","4442.19238240014","","","","","3718.27799901034","","","","","3979.02062635534","","4335.99868106504","",
"Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","5046.14196493664","","","","","4547.38344617403","","","","","4024.10331200345","","","","","3611.22840050767","","","","","3722.27017271097","","","","","4158.60670182181","","","","","3430.18108300602","","","","","2614.48708643001","","","","","2194.34200432734","","","","","1822.04308105901","","","","","1586.1106894004","","1490.79095898361","",
"Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","27076.9433424108","","","","","24820.4250631957","","","","","22466.2918337913","","","","","19729.8608778188","","","","","16803.8393593831","","","","","14388.8920864205","","","","","12490.5360980291","","","","","10723.1861658147","","","","","9187.01383315986","","","","","7714.79970164576","","","","","6523.95313474185","","6108.75465441702","",
"Albania","ALB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","15718.869480208","","","","","13685.4026102998","","","","","11992.1930377518","","","","","10702.0122170034","","","","","9661.39157081297","","","","","8723.55570833489","","","","","8284.47086715004","","","","","8544.34531098082","","","","","8816.75248524259","","","","","9057.18721475332","","","","","9274.29823040184","","9293.56791818896","",
"Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1335.17794152453","","","","","1164.05291039672","","","","","1018.38648421506","","","","","880.018961613533","","","","","750.471318984275","","","","","649.341083990531","","","","","520.362934021251","","","","","460.610982997582","","","","","415.187038007757","","","","","371.423024780431","","","","","307.879023518582","","294.806892530692","",
"United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1336.42195295795","","","","","873.20483639052","","","","","462.86438999102","","","","","207.512219011163","","","","","129.48034358904","","","","","98.7497621776561","","","","","74.2936898902137","","","","","57.7985681368054","","","","","44.1948580755791","","","","","24.957987387897","","","","","16.7550177368618","","16.5086622601745","",
"Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","12965.2444075405","","","","","12035.4779726551","","","","","11136.6887315675","","","","","10268.404561895","","","","","9519.21448269847","","","","","8810.43965594212","","","","","8676.23554422534","","","","","8148.69356489018","","","","","7706.63216136484","","","","","7305.49683845868","","","","","6936.6539063909","","6793.85349836689","",
"Armenia","ARM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1988.40584583781","","","","","2186.02955330929","","","","","2250.88268139558","","","","","2295.42551379347","","","","","2302.96148289365","","2281.65290267897","",
"American Samoa","ASM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","923.443021789703","","","","","838.682623141189","","","","","773.751952979689","","","","","740.498127394159","","","","","754.16968817984","","","","","819.104026211329","","","","","819.749661065044","","","","","719.902536272012","","","","","649.756341371985","","","","","616.135644631918","","","","","583.817040721239","","572.057205720572","",
"Australia","AUS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","45801.5267175573","","","","","41698.4490211035","","","","","37337.7855354026","","","","","34667.4182638106","","","","","32415.3379891949","","","","","30251.0467968937","","","","","28122.3206630466","","","","","26570.1787546579","","","","","25036.384176191","","","","","23622.5009122511","","","","","21647.0653663057","","20962.8260070955","",
"Austria","AUT","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","7714.03213301123","","","","","7455.60728090207","","","","","7290.36779375311","","","","","7267.02896109233","","","","","7261.55048625983","","","","","7261.12291813704","","","","","7014.67175991355","","","","","6902.57492399951","","","","","6805.28243345021","","","","","6630.11104712719","","","","","6524.32487768967","","6435.82870304712","",
"Azerbaijan","AZE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1099.29558385261","","","","","1035.30762606449","","","","","993.031039103274","","","","","945.660913847552","","","","","872.976394460112","","851.067935567183","",
"Burundi","BDI","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","3475.54508362383","","","","","3109.6170936208","","","","","2835.9317628586","","","","","2629.73260376988","","","","","2307.80418625586","","","","","1969.23568403829","","","","","1706.49303637188","","","","","1566.88130033081","","","","","1405.04402424721","","","","","1181.50306450889","","","","","993.622248920745","","930.029601936237","",
"Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1301.43685135574","","","","","1252.48004094775","","","","","1235.69744565892","","","","","1220.7083404287","","","","","1217.49503845407","","","","","1215.77664724058","","","","","1194.60540093048","","","","","1178.63777956429","","","","","1161.35194915988","","","","","1129.33736130326","","","","","1078.33705329663","","1068.45093223679","",
"Benin","BEN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","4114.6805409966","","","","","3768.13184803088","","","","","3388.93824235844","","","","","3000.93640870073","","","","","2619.96181977969","","","","","2265.660332203","","","","","1915.12963568284","","","","","1619.16563923009","","","","","1389.12415587106","","","","","1182.86970391623","","","","","1024.89683368571","","971.837287641759","",
"Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2519.99616960582","","","","","2339.50088152393","","","","","2145.85975244332","","","","","1953.44945574554","","","","","1746.23539588414","","","","","1535.61219821535","","","","","1344.50296199381","","","","","1171.97231032589","","","","","1017.00563600115","","","","","876.331901804276","","","","","753.429021230002","","710.663442415055","",
"Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2057.5888147434","","","","","1760.99760615017","","","","","1553.74892536065","","","","","1402.83436136153","","","","","1222.80385243306","","","","","1069.79917994697","","","","","946.052832870063","","","","","849.692565449815","","","","","770.764075899091","","","","","716.270382573723","","","","","676.296323343378","","660.055579320001","",
"Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2620.75895681813","","","","","2527.00708741254","","","","","2448.63692544484","","","","","2385.22983904355","","","","","2354.93145635578","","","","","2340.78248345652","","","","","2458.96917202058","","","","","2526.44708873893","","","","","2668.88039704807","","","","","2783.17551844596","","","","","2874.39391351195","","2907.00169353613","",
